"","id","label","timeset","indegree","outdegree","degree","weighted.indegree","weighted.outdegree","weighted.degree","eccentricity","closnesscentrality","harmonicclosnesscentrality","betweenesscentrality","modularity_class","componentnumber","strongcompnum"
"11215","junemarie426","junemarie426",NA,6,11,17,6,15,21,13,0.255844155844156,0.342104652256937,74810.5037219835,0,0,324
"1670","NCStateAFLCIO","NCStateAFLCIO",NA,17,15,32,18,29,47,13,0.256065857885615,0.345798955697433,74767.5615687507,0,0,324
"2904","SEIULocal1","SEIULocal1",NA,67,10,77,87,20,107,14,0.220687079910381,0.290429386368472,74138.4331992028,0,0,324
"1689","CaucusofWE","CaucusofWE",NA,16,3,19,19,3,22,15,0.176946107784431,0.209713373672765,73272.3247017992,0,0,324
"412","1alyssakang","1alyssakang",NA,286,2,288,294,2,296,13,0.245942571785268,0.320398101616376,71872.3210326826,0,0,324
"118","fightfor15texas","fightfor15texas",NA,303,10,313,428,37,465,13,0.254521963824289,0.339651183559814,71570.5762907343,0,0,324
"6720","PLANevada","PLANevada",NA,78,8,86,90,10,100,13,0.246970330129545,0.32646127138513,70293.6136891124,0,0,324
"3763","OccupyWallStNYC","OccupyWallStNYC",NA,131,13,144,150,16,166,13,0.256621797655232,0.346447573858742,69649.5176163005,0,0,324
"1105","AllynnUmel","AllynnUmel",NA,29,22,51,31,32,63,13,0.262084257206208,0.361309389989594,69568.7501673446,0,0,324
"224","mattalley413","mattalley413",NA,30,18,48,34,38,72,13,0.257404181184669,0.353054615998779,68063.0610150818,0,0,324
"39","standup_kc","standup_kc",NA,215,10,225,259,16,275,13,0.253213367609255,0.337536124338155,67309.8497533328,0,0,324
"2413","seiufl","seiufl",NA,77,20,97,95,32,127,13,0.257853403141361,0.35440825390064,66820.3035042773,0,0,324
"824","Detroit_15","Detroit_15",NA,275,6,281,375,12,387,13,0.248842105263158,0.328914740082253,65331.7951465975,0,0,324
"1907","TheNewThinker","TheNewThinker",NA,174,1,175,212,1,213,13,0.245840266222962,0.319552077927713,64775.323439094,0,0,324
"3633","stopsfevictions","stopsfevictions",NA,17,4,21,26,4,30,14,0.209129511677282,0.260000734366216,64368.0809352068,0,0,324
"7979","clinton_wright","clinton_wright",NA,6,4,10,9,5,14,13,0.247798742138365,0.325756251644577,64354.0247355421,0,0,324
"2159","seiumn","seiumn",NA,47,7,54,72,9,81,13,0.24926191480388,0.330775992197312,62130.7449696697,0,0,324
"15706","JustHarvest","JustHarvest",NA,10,9,19,11,15,26,15,0.180292861500915,0.221555690971935,60846.373966703,0,0,324
"4662","NEJewishLabor","NEJewishLabor",NA,25,15,40,30,23,53,13,0.26012323943662,0.353948983898223,57995.7704903963,0,0,324
"2979","seiuhcpa","seiuhcpa",NA,32,26,58,40,35,75,13,0.266696750902527,0.373012717682769,55455.3579456192,0,0,324
"1176","SEIU","SEIU",NA,109,36,145,124,65,189,13,0.26986301369863,0.384405836690101,54829.296086612,0,0,324
"339","bradlander","bradlander",NA,73,4,77,86,5,91,14,0.210470085470085,0.261805584902031,53657.7210458885,0,0,324
"2162","ryanstopera","ryanstopera",NA,113,1,114,113,1,114,13,0.245840266222962,0.319552077927713,53610.9101114498,0,0,324
"1589","michstepstone","michstepstone",NA,4,14,18,4,21,25,13,0.25116872078198,0.337628784075485,53369.8948554784,0,0,324
"1688","kelleycollings","kelleycollings",NA,25,5,30,28,7,35,14,0.213820549927641,0.269222392572646,52146.3689217736,0,0,324
"3483","LibsNoFun","LibsNoFun",NA,326,5,331,358,5,363,1,1,1,50831,17,0,103
"5904","NBisno","NBisno",NA,35,28,63,42,55,97,13,0.268148820326679,0.378286265342104,50147.0634518791,0,0,324
"5894","JoshNoneYaBiz","JoshNoneYaBiz",NA,63,5,68,72,5,77,2,0.857142857142857,0.916666666666667,49351.5,17,0,138
"7100","abowersock","abowersock",NA,30,6,36,30,6,36,14,0.208539167254764,0.260016849103143,49149.0801896199,0,0,324
"15293","2016Republic","2016Republic",NA,10,4,14,11,4,15,2,0.666666666666667,0.75,48878,17,0,166
"22370","DanielleVFreman","DanielleVFreman",NA,1,10,11,1,11,12,14,0.204427533725355,0.254823875128443,48874.0067203957,0,0,324
"6798","masseydaniel","masseydaniel",NA,120,2,122,130,2,132,14,0.204215618521078,0.247890509565636,48320.7085894316,0,0,324
"358","aequitas1500","aequitas1500",NA,83,9,92,95,15,110,13,0.25105663567202,0.332099634372362,46801.6126678877,91,0,700
"1034","RobinHoodTax","RobinHoodTax",NA,153,6,159,184,8,192,13,0.250848896434635,0.330683332459983,45515.3846229883,0,0,324
"4671","afarnitano","afarnitano",NA,57,10,67,60,51,111,13,0.256399132321041,0.343712097265397,44434.2405122847,0,0,324
"2261","sweetpeaseason","sweetpeaseason",NA,3,7,10,4,7,11,14,0.21205597416577,0.268497229410934,43166.9334351069,0,0,324
"30959","RollwindPharmer","RollwindPharmer",NA,2,3,5,2,3,5,3,0.555555555555556,0.633333333333333,42772,17,0,140
"66","zachhaller","zachhaller",NA,142,5,147,155,6,161,14,0.208907741251326,0.260129652261631,42693.6437257724,0,0,324
"1538","mnnoc","mnnoc",NA,68,5,73,83,8,91,14,0.200338983050847,0.244675619548716,42325.4551755854,0,0,324
"2216","LauraKMM","LauraKMM",NA,63,5,68,65,8,73,14,0.198989898989899,0.242532359537435,41259.4685880296,0,0,324
"17636","CommsUnited","CommsUnited",NA,80,5,85,112,10,122,14,0.208245243128964,0.259199026204102,41027.8533692247,0,0,324
"4611","jasiri_x","jasiri_x",NA,62,2,64,85,2,87,15,0.175214942187963,0.204480112855748,40977.9209189503,0,0,324
"11360","SEIUForwardNC","SEIUForwardNC",NA,42,4,46,54,6,60,14,0.208686440677966,0.259791242786166,37569.7854052634,0,0,324
"1078","workmenscircle","workmenscircle",NA,30,8,38,44,9,53,13,0.252780153977759,0.338277402236794,37518.3613394285,0,0,324
"6426","FUUNO","FUUNO",NA,5,7,12,6,14,20,14,0.212284482758621,0.267925156250029,37412.5958202345,0,0,324
"12490","BLMChi","BLMChi",NA,38,2,40,38,5,43,15,0.172252987467211,0.200558188756159,37388.9439255189,0,0,324
"3029","aMustReid","aMustReid",NA,70,4,74,78,7,85,14,0.217920353982301,0.279346476046983,37034.901928962,0,0,324
"10429","sara_dinatale","sara_dinatale",NA,13,1,14,13,1,14,3,0.5,0.611111111111111,36588,0,0,233
"30851","LandonWhite_","LandonWhite_",NA,1,2,3,1,2,3,2,0.666666666666667,0.75,36588,17,0,145
"26387","CMcGeeIII","CMcGeeIII",NA,1,3,4,1,4,5,15,0.177052127022169,0.210277389465207,36524,0,0,324
"371","OurRevolution2","OurRevolution2",NA,136,2,138,191,2,193,14,0.207732864674868,0.255532923553227,36510.0606873811,0,0,324
"11353","FacultyForward","FacultyForward",NA,25,8,33,28,11,39,13,0.24748743718593,0.327871310866235,36468.9982965767,0,0,324
"4","Demos_Org","Demos_Org",NA,71,5,76,73,6,79,13,0.249683677773092,0.327309430434431,35543.1916637625,0,0,325
