"id","indegree"
"SenSanders",5525
"fightfor15",3436
"chifightfor15",2318
"EconomicPolicy",2291
"RevDrBarber",1169
"RaiseUpfor15",1144
"Show_Me15",1117
"DerrickQLewis",1115
"Kaimandante",1042
"Fightfor15LA",985
"TheMarkRomano",850
"scrowder",847
"SenWarren",698
"MarkRuffalo",622
"UR_Ninja",598
"larryelder",595
"FightFor15FL",558
"ChrisJZullo",545
"RoseAnnDeMoro",442
"Marc_Perrone",411
