"","id","indegree"
"1","SenSanders",5525
"2","fightfor15",3436
"19","chifightfor15",2318
"4","EconomicPolicy",2291
"27","RevDrBarber",1169
"13","RaiseUpfor15",1144
"8","Show_Me15",1117
"44","DerrickQLewis",1115
"3","Kaimandante",1042
"12","Fightfor15LA",985
"46","TheMarkRomano",850
"47","scrowder",847
"36","SenWarren",698
"24","MarkRuffalo",622
"21","UR_Ninja",598
"40","larryelder",595
"20","FightFor15FL",558
"25","ChrisJZullo",545
"34","RoseAnnDeMoro",442
"9","Marc_Perrone",411
