"","id","label","timeset","indegree","outdegree","degree","weighted.indegree","weighted.outdegree","weighted.degree","eccentricity","closnesscentrality","harmonicclosnesscentrality","betweenesscentrality","modularity_class","componentnumber","strongcompnum"
"21527","girlact75","girlact75",NA,0,30,30,0,34,34,13,0.318032786885246,0.406781746317827,0,0,0,21582
"69","Fightfor15LA","Fightfor15LA",NA,985,29,1014,1402,81,1483,13,0.263721552878179,0.366808543965905,506926.439430444,0,0,324
"1351","RevMelanieNOLA","RevMelanieNOLA",NA,3,29,32,3,55,58,12,0.278403755868545,0.373830511815336,1303.01068931069,0,0,2089
"1733","VirginiaInCal","VirginiaInCal",NA,0,29,29,0,36,36,12,0.284186046511628,0.37978422286933,0,0,0,2474
"11371","cluwlaura","cluwlaura",NA,0,29,29,0,63,63,12,0.278819119025305,0.373246207573939,0,0,0,11830
"14452","bikeberg","bikeberg",NA,0,29,29,0,57,57,12,0.280568720379147,0.37800927957178,0,0,0,14791
"21718","BillyScoots123","BillyScoots123",NA,0,29,29,0,30,30,10,0.185251798561151,0.233370575846304,0,17,0,21777
"336","4evrstardancer","4evrstardancer",NA,0,28,28,0,47,47,13,0.260201842913559,0.36035312822834,0,0,0,745
"2767","MarcMacaire","MarcMacaire",NA,6,28,34,6,47,53,13,0.267841011743451,0.375829987887324,871.633809841116,0,0,1464
"5605","sparkyNadine","sparkyNadine",NA,0,28,28,0,33,33,13,0.264915405164737,0.370252968320196,0,0,0,6270
"5904","NBisno","NBisno",NA,35,28,63,42,55,97,13,0.268148820326679,0.378286265342104,50147.0634518791,0,0,324
"6292","K810Mt","K810Mt",NA,0,28,28,0,38,38,12,0.27689429373246,0.373906962969464,0,0,0,6938
"115","pausetheprocess","pausetheprocess",NA,0,27,27,0,44,44,13,0.264285714285714,0.368891637641638,0,0,0,488
"126","lahautj","lahautj",NA,0,27,27,0,37,37,13,0.267927848658161,0.3731535568974,0,0,0,503
"130","LouisianaBernie","LouisianaBernie",NA,6,27,33,6,71,77,13,0.26274165202109,0.366193728233863,1139.66948733449,0,0,514
"149","chifightfor15","chifightfor15",NA,2318,27,2345,3286,54,3340,13,0.261388766032729,0.363621854738606,1098586.27505671,0,0,324
"665","FastFoodForward","FastFoodForward",NA,305,27,332,402,69,471,13,0.262084257206208,0.36407306737256,183471.292407038,0,0,324
"769","MontriciaHubba1","MontriciaHubba1",NA,0,27,27,0,41,41,13,0.267144778126401,0.374357689290576,0,0,0,1227
"805","aertwitt","aertwitt",NA,0,27,27,0,38,38,13,0.263181019332162,0.364191178882331,0,0,0,1270
"1210","fightfor15mass","fightfor15mass",NA,358,27,385,445,57,502,13,0.266937669376694,0.374732965849718,311673.909027818,0,0,324
"9442","BoccaJim","BoccaJim",NA,0,27,27,0,49,49,13,0.262389380530973,0.365206041850225,0,0,0,9978
