,id,betweenesscentrality.x,X,label,timeset,Type,indegree,outdegree,degree,weighted.indegree,weighted.outdegree,weighted.degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality.y,modularity_class,componentnumber,strongcompnum
53,fightfor15texas,715705762907343,118,fightfor15texas,NA,6,303,10,313,428,37,465,13,254521963824289,339651183559814,715705762907343,0,0,324
11,People4Bernie,540129502613037,125,People4Bernie,NA,6,237,75,312,271,121,392,12,29728370221328,431356164985608,540129502613037,0,0,324
6,chifightfor15,109858627505671,149,chifightfor15,NA,6,2318,27,2345,3286,54,3340,13,261388766032729,363621854738606,109858627505671,0,0,324
18,FightFor15FL,247196907973689,157,FightFor15FL,NA,6,558,22,580,894,67,961,13,255844155844156,350883155197877,247196907973689,0,0,324
35,FF15ChildCare,999154500613754,172,FF15ChildCare,NA,6,220,15,235,318,22,340,13,26012323943662,353215763368048,999154500613754,0,0,324
80,aequitas1500,468016126678877,358,aequitas1500,NA,6,83,9,92,95,15,110,13,25105663567202,332099634372362,468016126678877,91,0,700
98,OurRevolution2,365100606873811,371,OurRevolution2,NA,6,136,2,138,191,2,193,14,207732864674868,255532923553227,365100606873811,0,0,324
22,FastFoodForward,183471292407038,665,FastFoodForward,NA,6,305,27,332,402,69,471,13,262084257206208,36407306737256,183471292407038,0,0,324
60,Detroit_15,653317951465975,824,Detroit_15,NA,6,275,6,281,375,12,387,13,248842105263158,328914740082253,653317951465975,0,0,324
81,RobinHoodTax,455153846229883,1034,RobinHoodTax,NA,6,153,6,159,184,8,192,13,250848896434635,330683332459983,455153846229883,0,0,324
16,fightfor15mass,311673909027818,1210,fightfor15mass,NA,6,358,27,385,445,57,502,13,266937669376694,374732965849718,311673909027818,0,0,324
28,FightFor15PA,131074440619806,1213,FightFor15PA,NA,6,189,16,205,273,26,299,13,26081200353045,355133417062352,131074440619806,0,0,324
15,GoodAirports,394786196096819,1222,GoodAirports,NA,6,247,47,294,403,94,497,13,271100917431193,393683896475775,394786196096819,0,0,324
24,RaiseUpMA,162665275766904,2155,RaiseUpMA,NA,6,162,16,178,257,30,287,13,259324265028521,353018357840693,162665275766904,0,0,324
55,OccupyWallStNYC,696495176163005,3763,OccupyWallStNYC,NA,6,131,13,144,150,16,166,13,256621797655232,346447573858742,696495176163005,0,0,324
39,ProgressiveChi,895804700485042,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,WEHAVEAFUTURE,850349709331689,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,RWwatchMA,772707884849669,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,CTUL_TC,748737933976487,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,junemarie426,748105037219835,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NCStateAFLCIO,747675615687507,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,SEIULocal1,741384331992028,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,CaucusofWE,732723247017992,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,AllynnUmel,695687501673446,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,mattalley413,680630610150818,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,stopsfevictions,643680809352068,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
