"","retweeter","retweeted"
"20070","MontriciaHubba1","10NewsRBianco"
"20071","artemis33","DerrickQLewis"
"20072","breadincast","greenhousenyt"
"20073","32BJFlorida","seiufl"
"20074","MJanovic","avivajazz"
"20075","HouseOfMichele","DerrickQLewis"
"20076","DOJSuedFerguson","SEIU521"
"20077","artemis33","DerrickQLewis"
"20078","reynaramirez22","JamieEldridgeMA"
"20079","dustyspark","fightfor15"
"20080","artemis33","DerrickQLewis"
"20081","hspaulds","DemSocialists"
"20082","_unknownwr1ter","BuzzFeedNews"
"20083","sickjew","avivajazz"
"20084","DOJSuedFerguson","emilymoonlight"
"20085","TracyCapelli455","fightfor15"
"20086","FrodoLuver1","BuzzFeedNews"
"20087","Chigi_Rost","SenSanders"
"20088","Detroit_15","MarkRuffalo"
"20089","nigel_xl","SenSanders"
"20090","amy743","jasonahart"
"20091","Chigi_Rost","SenSanders"
"20092","Vthibeau","KCTomDempsey"
"20093","_green_mountain","FastFoodForward"
"20094","WeTheCorpsUSA","standup_kc"
"20095","pgrandee10","NCFaculty"
"20096","CaucusofWE","kelleycollings"
"20097","matcatastrophe","RaiseUpfor15"
"20098","ZakiyaSankofa","ryanstopera"
"20099","DOJSuedFerguson","emilymoonlight"
"20100","MichaelEdits","SenSanders"
"20101","danrlastname","EconomicPolicy"
"20102","hungrydyke","sdmccoy4"
"20103","nerdette","EconomicPolicy"
"20104","Tuniekc","fightfor15"
"20105","BmtPaula","ReelectBernie"
"20106","Hopemyworlds","somethingldsay"
"20107","Portations","KCTomDempsey"
"20108","tubasam79","fox5dc"
"20109","OmanReagan","10NewsRBianco"
"20110","callmemrfresh1","fightfor15"
"20111","WarrenAntonio","32BJSEIU"
"20112","que_cherry10","RaiseUpfor15"
"20113","SEIULocal99","Show_Me15"
"20114","TracyCapelli455","norwind"
"20115","DOJSuedFerguson","avivajazz"
"20116","mommabear405","somethingldsay"
"20117","palmleaf4719","BuzzFeedNews"
"20118","Purplegarter1","citizenactionny"
"20119","CastleKazzamski","32BJFlorida"
"20120","Luke_Huddleston","dmorgan175"
"20121","DOJSuedFerguson","jasonahart"
"20122","emm_fee","DerrickQLewis"
"20123","Purplegarter1","FightFor15FL"
"20124","Tuniekc","sdbrichards"
"20125","savasavasava","fightfor15"
"20126","ladybellefiske1","Fightfor15LA"
"20127","wildcat96","ChrisMurphyCT"
"20128","netminnow","EqualVoiceNews"
"20129","BethBotshon","kadarlikeradar"
"20130","sarahinmagnolia","fightfor15"
"20131","WarWomensRights","KCTomDempsey"
"20132","mrclamsimmons","KCTomDempsey"
"20133","TracyCapelli455","SenSanders"
"20134","r1l2a3c7","SenWarren"
"20135","PoliticallyLib","DerrickQLewis"
"20136","Likely316","RaiseUpfor15"
"20137","ScreamingSara","SenSanders"
"20138","kingsfanone","hollywoodblvd1"
"20139","sparkyNadine","DerrickQLewis"
"20140","sparkyNadine","DerrickQLewis"
"20141","mrclamsimmons","KCTomDempsey"
"20142","TracyCapelli455","1alyssakang"
"20143","bencolmery4","SenSanders"
"20144","PoliticallyLib","DerrickQLewis"
"20145","PsixPack","EdmondScofield"
"20146","FavThngs","ryanstopera"
"20147","PoliticallyLib","DerrickQLewis"
"20148","tracytran","DerrickQLewis"
"20149","DCSoljaGurl","KCTomDempsey"
"20150","DOJSuedFerguson","BernieCrats1"
"20151","lord_nikon9","KCTomDempsey"
"20152","GreenBiotechie","DerrickQLewis"
"20153","Rogue_Wonder","may_gun"
"20154","jessayin2U","ryanstopera"
"20155","ThrashaBomb","ryanstopera"
"20156","BuzzFeed","BuzzFeedNews"
"20157","TracyCapelli455","Fightfor15LA"
"20158","JamesDonaldPhi2","TheMarkRomano"
"20159","potsherds","The_Gambit"
"20160","StopGaslighting","michellemalkin"
"20161","DevonPuglia","ProChoiceNY"
"20162","cjgrimes","KCTomDempsey"
"20163","emilymoonlight","TexasObserver"
"20164","Wise_Disciple","DerrickQLewis"
"20165","kowboat","RaiseUpfor15"
"20166","mikeypat13","TheMarkRomano"
"20167","UNDERKIDD_","SenSanders"
"20168","NorCalFF15","Show_Me15"
"20169","FightFor15WI","Show_Me15"
"20170","Fightfor15LA","Show_Me15"
"20171","MMstrikesback","KCTomDempsey"
"20172","FastFoodForward","Show_Me15"
"20173","spacetimeltd","fightfor15"
"20174","Likely316","SenSanders"
"20175","BenAtLarge","dpcrawf"
"20176","GergArias","BuzzFeedNews"
"20177","DOJSuedFerguson","MayaIsGreening"
"20178","oldgeekgal","TheMarkRomano"
"20179","spacetimeltd","fightfor15"
"20180","macklamm","SenSanders"
"20181","seiumn","ryanstopera"
"20182","fightfor15","KCTomDempsey"
"20183","heylika","BuzzFeedNews"
"20184","StopGaslighting","TwitchyTeam"
"20185","aertwitt","drdrbrockman"
"20186","JeffreyFBarken","JeffreyFBarken"
"20187","AndyRose12","Show_Me15"
"20188","greenstorm88888","scrowder"
"20189","NorCalFF15","Show_Me15"
"20190","FightFor15WI","Show_Me15"
"20191","Fightfor15LA","Show_Me15"
"20192","FastFoodForward","Show_Me15"
"20193","FCEA_WVEA","unitehere"
"20194","StopGaslighting","lybr3"
"20195","MugabeGlasses","RaiseUpfor15"
"20196","dena1johnson2","SenSanders"
"20197","aertwitt","agbur"
"20198","StopGaslighting","scrowder"
"20199","KPBSnews","acbowen"
"20200","aertwitt","SEIULouisiana"
"20201","mrclamsimmons","standup_kc"
"20202","cdmichal","michellemalkin"
"20203","KPBSnews","acbowen"
"20204","pahcworkers","fightfor15"
"20205","dammitbabies","jasiri_x"
"20206","madjorgen","somethingldsay"
"20207","cubanlink31","chifightfor15"
"20208","MrHoppy_","scrowder"
"20209","dena1johnson2","SenSanders"
"20210","citygirl1613","KCTomDempsey"
"20211","RichiGEspinal","SenSanders"
"20212","Likely316","NewsHour"
"20213","ClarkeUltan","fightfor15"
"20214","BellyDancnHeffa","RaiseUpfor15"
"20215","KChlip","LibsNoFun"
"20216","TracyCapelli455","SenWarren"
"20217","BellyDancnHeffa","ryanstopera"
"20218","LeavethisUnion","Vote_CNP"
"20219","spilledmilque","NicholsUprising"
"20220","mcotteri","DemSocialists"
"20221","mcotteri","1alyssakang"
"20222","RaiseUpfor15","avivajazz"
"20223","BellyDancnHeffa","norhantharwat"
"20224","lvl99nicole","EconomicPolicy"
"20225","VideoNewOrleans","ALicatovich"
"20226","pyfgcrl","chifightfor15"
"20227","flipper502","ryanstopera"
"20228","GreenBiotechie","MoveOn"
"20229","Tuniekc","SEIU521"
"20230","TomiBaird","MoveOn"
"20231","bow227","ryanstopera"
"20232","TiffanySKraft","BuzzFeedNews"
"20233","vixenC","CecileRichards"
"20234","pyfgcrl","fightfor15"
"20235","worthsharing8","EconomicPolicy"
"20236","NavarreteAZ","LUCHA_AZ"
"20237","TheCoalitionSF","stopsfevictions"
"20238","prosasstinator","SenSanders"
"20239","CoyoteRidge","DerrickQLewis"
"20240","BLACKFLAGchi","BLACKFLAGchi"
"20241","jxpx777","EconomicPolicy"
"20242","DCSoljaGurl","inthesetimesmag"
"20243","YevetteN","TexasObserver"
"20244","RebColdRiver","RaiseUpfor15"
"20245","TracyCapelli455","RaiseUpfor15"
"20246","wise_marcia","SenSanders"
"20247","EBONYTUSKS","standup_kc"
"20248","ms_msmarshas","MirandaMerklein"
"20249","GCampbellGreg","MoveOn"
"20250","montyiavelli","DerrickQLewis"
"20251","iamProvincetown","chifightfor15"
"20252","rockneveau","Demos_Org"
"20253","Ricktgz1","RaiseUpfor15"
"20254","Paisleyshirts","SenSanders"
"20255","JamesCronkhite1","theinclinepgh"
"20256","coreybeeee","DerrickQLewis"
"20257","boldonenow","MoveOn"
"20258","kempadimes","greenhousenyt"
"20259","Buddha6883","fightfor15"
"20260","BigZaphod","EconomicPolicy"
"20261","4evrstardancer","RaiseUpfor15"
"20262","domisbreathing","fightfor15"
"20263","Tuniekc","jasiri_x"
"20264","burnodo","RaiseUpfor15"
"20265","Tuniekc","jasiri_x"
"20266","DOJSuedFerguson","Show_Me15"
"20267","kushindana","SEIULouisiana"
"20268","mrsgordon586","fightfor15"
"20269","CatheRomano","MoveOn"
"20270","HankReichman","greenhousenyt"
"20271","mattking8994","embraceliberdom"
"20272","camac928","RaiseUpfor15"
"20273","TracyCapelli455","chifightfor15"
"20274","MJanovic","fightfor15"
"20275","sc1199","greenhousenyt"
"20276","orangehunchback","standup_kc"
"20277","ShaktiLila","DerrickQLewis"
"20278","themainepain","fightfor15"
"20279","NestleSux","SenSanders"
"20280","kpflynn1961","greenhousenyt"
"20281","TracyCapelli455","fightfor15"
"20282","MahinaLakai","SenSanders"
"20283","Holly_A_Hearn","fightfor15texas"
"20284","wildscenery","LizWarren_2020"
"20285","RhythmConspirac","Show_Me15"
"20286","blaine_smith_","EconomicPolicy"
"20287","BmtPaula","LizWarren_2020"
"20288","yipolitik","EconomicPolicy"
"20289","Kenikewahine78","jpratthyatt"
"20290","RhythmConspirac","SEIULouisiana"
"20291","Rachelanthecity","SenSanders"
"20292","PatrioticMills","EricaPayneAP"
"20293","steph14156","RaiseUpfor15"
"20294","gr8hitr","SenSanders"
"20295","Marguer59690759","tomborelli"
"20296","oneandonlydebs","TexasObserver"
"20297","MikeMarusarz","KCTomDempsey"
"20298","Vlad2075","AmericanVet3"
"20299","debfromca","DerrickQLewis"
"20300","wendy15197721","MoveOn"
"20301","JeanetteJing","fightfor15"
"20302","LindaSusanDawso","TheMarkRomano"
"20303","steph14156","Show_Me15"
"20304","NerbieDansers","Show_Me15"
"20305","hegoFLOOF","SenSanders"
"20306","SpringaldJack","TheNewThinker"
"20307","HapanKinyewakan","UR_Ninja"
"20308","rjber15","Show_Me15"
"20309","steph14156","Show_Me15"
"20310","CaramelZappa","PghUNITED"
"20311","awaytofindme","Fightfor15LA"
"20312","StringentJim","chifightfor15"
"20313","mahoganyss","JamieEldridgeMA"
"20314","steph14156","RaiseUpfor15"
"20315","sickjew","Show_Me15"
"20316","micheleggermont","standwithraul"
"20317","steph14156","NCFaculty"
"20318","nwonoway","SenSanders"
"20319","WholePlateWay","RaiseUpfor15"
"20320","Hoodoonola","Show_Me15"
"20321","MattHallHallMat","fightfor15"
"20322","sickjew","Show_Me15"
"20323","rjber15","RaiseUpfor15"
"20324","grannysidney","ShmeeGoal"
"20325","soccerdrum17","thadmoore"
"20326","HighTechAztec","Show_Me15"
"20327","Lacyphi","MoveOn"
"20328","partyboy165","fightfor15"
"20329","ms_msmarshas","inthesetimesmag"
"20330","ResendesMarc","SenWarren"
"20331","Catfish_Man","EconomicPolicy"
"20332","zackmomma","SenWarren"
"20333","AnnH1958","SenSanders"
"20334","danelyq98","chifightfor15"
"20335","zephyrwon2001","EconomicPolicy"
"20336","grannysidney","DerrickQLewis"
"20337","MarieJenkins10","BuzzFeedNews"
"20338","CatheRomano","CARDBOARDOart"
"20339","CobyWright","SenSanders"
"20340","lditeam","ldaluke"
"20341","rjber15","Show_Me15"
"20342","sandew5358","LUCHA_AZ"
"20343","grannysidney","PhillyCluw"
"20344","MyPhotoLegacy","chifightfor15"
"20345","Kenikewahine78","ms_msmarshas"
"20346","Hoodoonola","Show_Me15"
"20347","aebrownrules","RoseAnnDeMoro"
"20348","anabel_arizona","LUCHA_AZ"
"20349","steph14156","RaiseUpfor15"
"20350","michaelkane_cwa","afarnitano"
"20351","Criticalanglez","BuzzFeedNews"
"20352","worthsharing8","pragmactivist"
"20353","protacotrucks","SenSanders"
"20354","Hoodoonola","Show_Me15"
"20355","texventures_atx","TexasObserver"
"20356","4evrstardancer","zachhaller"
"20357","Big_DaddyDZ","SenSanders"
"20358","steph14156","Show_Me15"
"20359","kkingsb","ryanstopera"
"20360","irina_florescu","Tulsi2020"
"20361","hanjangho76","RaiseUpfor15"
"20362","ThatBitchFromNJ","EconomicPolicy"
"20363","sickjew","jasiri_x"
"20364","steph14156","fightfor15"
"20365","BellyDancnHeffa","Justin_Vest"
"20366","Hoodoonola","TheNewThinker"
"20367","sickjew","jasiri_x"
"20368","JHCannon5","DerrickQLewis"
"20369","Esotericleo7","NCStateAFLCIO"
"20370","hanjangho76","standup_kc"
"20371","sickjew","jasiri_x"
"20372","marty_halverson","EdmondScofield"
"20373","hanjangho76","standup_kc"
"20374","michaelkane_cwa","citizenactionny"
"20375","Br0M0use","MisterMetokur"
"20376","Wotansson","fightfor15"
"20377","TKYSK8R","ATLRaiseUp"
"20378","AngryVoters","SenSanders"
"20379","steph14156","fightfor15"
"20380","ThisBarbara","Pianobirdy"
"20381","GreenBiotechie","KCTomDempsey"
"20382","Br0M0use","scrowder"
"20383","BellyDancnHeffa","15NowMN"
"20384","Hoodoonola","The_Gambit"
"20385","Capt17Bjk","DerrickQLewis"
"20386","smaystein","fightfor15"
"20387","leoluminary","The_Gambit"
"20388","pgrandee10","GoodJobsNation"
"20389","Amaniacal","shipmanlee"
"20390","Hoodoonola","Show_Me15"
"20391","CiniclyProven","fightfor15"
"20392","Br0M0use","LibsNoFun"
"20393","Nolabusker","ALicatovich"
"20394","BellyDancnHeffa","fightfor15"
"20395","Amaniacal","SenSanders"
"20396","redrox92","ChrisJZullo"
"20397","Hoodoonola","renate_heurich"
"20398","CTUL_TC","ryanstopera"
"20399","dannierandle24","KatyBergen"
"20400","pgrandee10","UR_Ninja"
"20401","Hoodoonola","SEIULouisiana"
"20402","Br0M0use","caroljsroth"
"20403","maxthecat2000","JamieEldridgeMA"
"20404","thievinregan","fightfor15"
"20405","Br0M0use","LibsNoFun"
"20406","Swoocetoot","fightfor15"
"20407","caa1000","BuzzFeedNews"
"20408","LocoCravey","NCFaculty"
"20409","TKYSK8R","ATLRaiseUp"
"20410","9CirclesOfHell","ryanstopera"
"20411","sickjew","TexasObserver"
"20412","richardprofumo2","fightfor15"
"20413","cpreston","BuzzFeedNews"
"20414","Swoocetoot","chifightfor15"
"20415","bonbonelan","EconomicPolicy"
"20416","JHMcWilliam","RaiseUpfor15"
"20417","whatDWIGHT","EconomicPolicy"
"20418","tashsparkles","RaiseUpfor15"
"20419","VictoriaM_1981","chifightfor15"
"20420","Mis_Llaves","Fightfor15LA"
"20421","sparkyNadine","standup_kc"
"20422","JimScheurich","MoveOn"
"20423","_Sin_Eater_","HexThe2nd"
"20424","HippOptimist","RaiseUpfor15"
"20425","CordanaJean","SenSanders"
"20426","mrcuffe","NJTVNews"
"20427","lynnroe52","EconomicPolicy"
"20428","sickjew","fightfor15mass"
"20429","pgrandee10","ChrisMurphyCT"
"20430","Bleeding_BlueUK","TheNewDeal"
"20431","coreybeasley","chifightfor15"
"20432","JHendersonTampa","adawsonwrites"
"20433","mshotspot70_kc","DaveDMarko"
"20434","SerenaSonoma","Fightfor15LA"
"20435","rowbey","UR_Ninja"
"20436","pgrandee10","SenSanders"
"20437","coreybeasley","fightfor15"
"20438","SAYFART2DADRESS","seiumn"
"20439","Swoocetoot","Fightfor15LA"
"20440","thepellareport","inthesetimesmag"
"20441","coreybeasley","RaiseUpfor15"
"20442","breadincast","MoveOn"
"20443","smaystein","MoveOn"
"20444","ShirleyHaden","SenSanders"
"20445","DarbyKathleen","lindseybranwall"
"20446","mxdernruin","fightfor15"
"20447","pgrandee10","MarkRuffalo"
"20448","BrettRossi2000","inthesetimesmag"
"20449","spacetimeltd","Fightfor15LA"
"20450","mxdernruin","chifightfor15"
"20451","fox4kc","DaveDMarko"
"20452","w00dchuk","DrSueDVM"
"20453","SueScoby","ryanstopera"
"20454","CosN0","fightfor15"
"20455","stshinn","agbur"
"20456","ms_msmarshas","SEIULouisiana"
"20457","johnflerner","JamieEldridgeMA"
"20458","burnodo","Show_Me15"
"20459","sickjew","inthesetimesmag"
"20460","CosN0","chifightfor15"
"20461","SAYFART2DADRESS","fightfor15"
"20462","sav01","TheMarkRomano"
"20463","burnodo","RaiseUpfor15"
"20464","ireneista","EconomicPolicy"
"20465","ms_msmarshas","KCTomDempsey"
"20466","PictureNola","ALicatovich"
"20467","sc1199","MoveOn"
"20468","Cytokine99","fightfor15"
"20469","LocalProgress","ryanstopera"
"20470","TiffanySKraft","DerrickQLewis"
"20471","ParadiseGray","OccupyWallStNYC"
"20472","AnnH1958","SenSanders"
"20473","AnimalFarmMag","MoveOn"
"20474","bluetexan1","FightFor15PA"
"20475","folkwolf23","Show_Me15"
"20476","xxxBooBerryxxx","ChrisJZullo"
"20477","bluetexan1","lindseybranwall"
"20478","bes29","ryanstopera"
"20479","Patashu0","EconomicPolicy"
"20480","sickjew","RaiseUpfor15"
"20481","grannysidney","Show_Me15"
"20482","DCSoljaGurl","fightfor15"
"20483","smithbillkim123","LibsNoFun"
"20484","AnnH1958","SenSanders"
"20485","LyndaAnneArt","Fightfor15LA"
"20486","ms_msmarshas","WEHAVEAFUTURE"
"20487","woodra","RaiseUpfor15"
"20488","mason_paper","SenSanders"
"20489","timmazur1","TomSteyer"
"20490","Jen_niBell","chifightfor15"
"20491","viciavillosa","RaiseUpfor15"
"20492","SerenaSonoma","RaiseUpfor15"
"20493","krinhoh","ryanstopera"
"20494","TrulyProgressiv","1alyssakang"
"20495","biloon","ryanstopera"
"20496","TWULocal575","TexasObserver"
"20497","Purplegarter1","BernieTheBest1"
"20498","AwesomeAndre2","ALicatovich"
"20499","intern_pro","chifightfor15"
"20500","tcdailyplanet","ryanstopera"
"20501","Hierodule","RaiseUpfor15"
"20502","kpflynn1961","JonathanReiner"
"20503","Purplegarter1","OurRevolution2"
"20504","h0bama","chifightfor15"
"20505","coreybeasley","OccupyWallStNYC"
"20506","Speedycat","fightfor15"
"20507","aertwitt","RaiseUpfor15"
"20508","IBelieveNGood","TheMarkRomano"
"20509","sc1199","ChicagoJwJ"
"20510","70torinoman","OccupyWallStNYC"
"20511","folkwolf23","Show_Me15"
"20512","bourbonroad","chifightfor15"
"20513","cclovephd","MoveOn"
"20514","LongfellowJean","MoveOn"
"20515","Swoocetoot","RaiseUpfor15"
"20516","cblazina","ryanstopera"
"20517","Speedycat","fightfor15"
"20518","sc1199","UFWupdates"
"20519","DenisePouchet","Show_Me15"
"20520","netminnow","Show_Me15"
"20521","DakotaRCary","fightfor15"
"20522","hotnix719","MoveOn"
"20523","recklessleftist","Fightfor15LA"
"20524","TWULocal575","CaliforniaLabor"
"20525","carolyn_pearl","EconomicPolicy"
"20526","70torinoman","RaiseUpfor15"
"20527","nittimom","tomborelli"
"20528","LongfellowJean","RaiseUpfor15"
"20529","intern_pro","CortocircuitOFi"
"20530","DavidBugnon","TheMarkRomano"
"20531","hotnix719","MoveOn"
"20532","JesseAndMarcos","SenSherrodBrown"
"20533","sickjew","Show_Me15"
"20534","RaiseUpfor15","WEHAVEAFUTURE"
"20535","Yo_Leese","MOJwJ"
"20536","CitizenTeacher","SenSanders"
"20537","BellyDancnHeffa","RaiseUpfor15"
"20538","hamiltonlabouru","SenSanders"
"20539","LADYDAY93_TJFGG","WEHAVEAFUTURE"
"20540","grannysidney","DerrickQLewis"
"20541","Lindsey7607","fightfor15"
"20542","OmanReagan","Fightfor15LA"
"20543","sc1199","KCTomDempsey"
"20544","Krankier","UR_Ninja"
"20545","animeirl","chifightfor15"
"20546","BernItUpTV","fightfor15"
"20547","hamiltonlabouru","SenSanders"
"20548","TylerHMarkham","jessekb"
"20549","GrumpyCatPol","greenhousenyt"
"20550","karen_kg03","TexasObserver"
"20551","grannysidney","SierraClubRMC"
"20552","votegriffin","ryanstopera"
"20553","LeahR77","tomborelli"
"20554","OmanReagan","RaiseUpfor15"
"20555","jennylehman2","ryanstopera"
"20556","hamiltonlabouru","democracynow"
"20557","DavidSmejkal666","somethingldsay"
"20558","jasoncomix","FibonacciBlue"
"20559","mamaverde8740","GatorsEite23"
"20560","slightly_bent62","ryanstopera"
"20561","montyiavelli","standwithraul"
"20562","BellyDancnHeffa","fightfor15"
"20563","OmanReagan","fightfor15"
"20564","dstreamdiver","RaiseUpfor15"
"20565","MsRuthedelaRosa","jillwilson"
"20566","KatiKoster","SenSanders"
"20567","Die__Trying_","DerrickQLewis"
"20568","LADYDAY93_TJFGG","chifightfor15"
"20569","Gremlinbroom","ryanstopera"
"20570","TodMoore3","KCTomDempsey"
"20571","OmanReagan","chifightfor15"
"20572","Peta_de_Aztlan","fightfor15"
"20573","jbrabham7","SenSanders"
"20574","OmanReagan","fightfor15"
"20575","sallyjos","ryanstopera"
"20576","sc1199","15andaUnion"
"20577","t1l2o3","LawlessPirate"
"20578","wristonfleek","wristonfleek"
"20579","SAYFART2DADRESS","RaiseUpfor15"
"20580","BellyDancnHeffa","norwind"
"20581","dobbinsangela8","ChrisJZullo"
"20582","TheDENeclectic","RaiseUpfor15"
"20583","BLSomera","SenSanders"
"20584","Semperfelix","greenhousenyt"
"20585","PeachesAndHam","Detroit_15"
"20586","watattta","SenSanders"
"20587","samanthamarie","EconomicPolicy"
"20588","wilsonhartgrove","fightfor15"
"20589","13JustAFan","MoveOn"
"20590","OkazuYuri","Detroit_15"
"20591","montyiavelli","KCTomDempsey"
"20592","Peta_de_Aztlan","1alyssakang"
"20593","CindyReynolds","ryanstopera"
"20594","aiddewaal","MoveOn"
"20595","NARALNC","AllAboveAll"
"20596","grannysidney","PhillyCluw"
"20597","sickjew","Detroit_15"
"20598","BrettRossi2000","Detroit_15"
"20599","theveryleftT","sarahfelts"
"20600","Dawmeeno","EconomicPolicy"
"20601","djwoolverton","EconomicPolicy"
"20602","emilymoonlight","15NowMN"
"20603","Krankier","NCFaculty"
"20604","sickjew","Detroit_15"
"20605","ItsClassyChris","SEIULouisiana"
"20606","jimdandeo","MoveOn"
"20607","Classiklyfitted","SenWarren"
"20608","grannysidney","seiumn"
"20609","TornadoesBoreMe","Show_Me15"
"20610","lizzwinstead","ryanstopera"
"20611","PoliticallyLib","DerrickQLewis"
"20612","ShoeKat","ladailynews"
"20613","martinkrzywy","RaiseUpfor15"
"20614","supersoultess","MoveOn"
"20615","crossfitnans","People4Bernie"
"20616","TornadoesBoreMe","RaiseUpfor15"
"20617","LongfellowJean","Show_Me15"
"20618","marcusabright","NationalAction"
"20619","JamieEldridgeMA","WEHAVEAFUTURE"
"20620","TornadoesBoreMe","renate_heurich"
"20621","RunfreeChaos","SenSanders"
"20622","TornadoesBoreMe","Show_Me15"
"20623","mnnoc","ryanstopera"
"20624","JamieEldridgeMA","WEHAVEAFUTURE"
"20625","sc1199","fox4kc"
"20626","Lindsey7607","DerrickQLewis"
"20627","allaboutme0623","UAW"
"20628","TerminatorBarbi","NCFaculty"
"20629","jimdandeo","MoveOn"
"20630","sjmn777","Show_Me15"
"20631","TheHoodedNorman","TheMarkRomano"
"20632","LeahR77","DrSueDVM"
"20633","adam_m_barnes","RaiseUpfor15"
"20634","RaiseUpfor15","KCTomDempsey"
"20635","RebColdRiver","RaiseUpfor15"
"20636","sickjew","SEIULouisiana"
"20637","sickjew","SEIULouisiana"
"20638","69mangoman","NCFaculty"
"20639","specialnoknow","Show_Me15"
"20640","sunfllowerr","SenSanders"
"20641","The_Kings_Hand","EconomicPolicy"
"20642","Hockeydude94678","Kek_Magician"
"20643","LibTee","Fightfor15LA"
"20644","hotnix719","MoveOn"
"20645","AKISH23","JeffSchuhrke"
"20646","hotnix719","fightfor15"
"20647","BillHumphreyMA","CTUL_TC"
"20648","CathyGV61","DerrickQLewis"
"20649","grannysidney","KCTomDempsey"
"20650","dmsjr1978","NCFaculty"
"20651","AllAboveAllAct","AllAboveAll"
"20652","shortloudcat","SenSanders"
"20653","frankgrimesy","SEIULouisiana"
"20654","ilovekenyas","DerrickQLewis"
"20655","sc1199","fightfor15"
"20656","wckdlvly","SenSanders"
"20657","JamilaRowser","EconomicPolicy"
"20658","sickjew","JoeSimoes2"
"20659","artcinco","Patriot_Musket"
"20660","ArcticFox_am_I","RaiseUpfor15"
"20661","sickjew","SEIULouisiana"
"20662","globaldancer38","greenhousenyt"
"20663","khuyi","EconomicPolicy"
"20664","BellyDancnHeffa","RaiseUpfor15"
"20665","DerDenkerQ","LorenaSGonzalez"
"20666","TheHoodedNorman","MisterMetokur"
"20667","KayeUsry","RaiseUpfor15"
"20668","sc1199","standup_kc"
"20669","BellyDancnHeffa","TexasObserver"
"20670","tsgweinberg","DerrickQLewis"
"20671","Kenikewahine78","WorkingDad"
"20672","Avi11215","greenhousenyt"
"20673","bonkmar","MoveOn"
"20674","sc1199","TexasObserver"
"20675","sc1199","Show_Me15"
"20676","allhazardsblog","AJENews"
"20677","Helen47","TheMarkRomano"
"20678","dayahargraves","RaiseUpfor15"
"20679","kelly__t","Kek_Magician"
"20680","kellykjj","DerrickQLewis"
"20681","LisaKaysMSW","ChrisMurphyCT"
"20682","BCayenneBird","zachhaller"
"20683","adrien_gabriela","NCFaculty"
"20684","KatG4","UR_Ninja"
"20685","needlespella","DerrickQLewis"
"20686","TheresaSchroe14","RaiseUpfor15"
"20687","the_newtt","zachhaller"
"20688","claudiakincaid","greenhousenyt"
"20689","LADYDAY93_TJFGG","fightfor15"
"20690","Kashinka","MoveOn"
"20691","tulsamomo","The_Dailey"
"20692","FreedomChild3","TheMarkRomano"
"20693","quantalooped","fightfor15"
"20694","eddyrogerparker","PPSLR"
"20695","klondike_red","fightfor15"
"20696","TheSwagChamp","JamieEldridgeMA"
"20697","AngryAnonode","chifightfor15"
"20698","TheSwagChamp","SenSanders"
"20699","FreedomChild3","LibsNoFun"
"20700","GenisisDancer","RaiseUpfor15"
"20701","mpoblet","FastCoExist"
"20702","TheHoodedNorman","scrowder"
"20703","jamesel567","Show_Me15"
"20704","69mangoman","RaiseUpfor15"
"20705","sndrgilchrist","TheMarkRomano"
"20706","jamesel567","Show_Me15"
"20707","SandiBillington","SenSanders"
"20708","Kenikewahine78","fox4kc"
"20709","LeftHandedBat","EconomicPolicy"
"20710","LongfellowJean","KCTomDempsey"
"20711","s_yarif","SenSanders"
"20712","thereal_wifi","scrowder"
"20713","lord_nikon9","citizenactionny"
"20714","TonyBeav61","somethingldsay"
"20715","Speesmick","MisterMetokur"
"20716","TheSwagChamp","WEHAVEAFUTURE"
"20717","krebscorinth","RaiseUpfor15"
"20718","eddyrogerparker","sarahfelts"
"20719","EnricX","FastCoExist"
"20720","HolllyHughes","SenSanders"
"20721","amydugs","SenSanders"
"20722","TheHoodedNorman","TheMarkRomano"
"20723","GracieG","fightfor15"
"20724","PoliticallyLib","ReelectBernie"
"20725","TornadoesBoreMe","Show_Me15"
"20726","LongfellowJean","standwithraul"
"20727","TornadoesBoreMe","Show_Me15"
"20728","sc1199","DerrickQLewis"
"20729","eddyrogerparker","Show_Me15"
"20730","iAmericaorg","SEIULocal1"
"20731","eddyrogerparker","renate_heurich"
"20732","Blaquarian24","renate_heurich"
"20733","TornadoesBoreMe","renate_heurich"
"20734","eddyrogerparker","Show_Me15"
"20735","RobBenter","democracynow"
"20736","ImitationJordan","RaiseUpfor15"
"20737","sergiob28296181","BernieCrats1"
"20738","vonboobies","TexasObserver"
"20739","HoopsSecretary","chifightfor15"
"20740","homefiresk","ms_msmarshas"
"20741","TheHoodedNorman","LibsNoFun"
"20742","favoritemouse","RaiseUpfor15"
"20743","sc1199","RaiseUpfor15"
"20744","caitchirps","JeffSchuhrke"
"20745","cjgrimes","RealCorduroyKid"
"20746","LongfellowJean","The_Gambit"
"20747","eddyrogerparker","Show_Me15"
"20748","eddyrogerparker","Show_Me15"
"20749","ActivityGrrrl","SenSanders"
"20750","Voices4Ed","flatbrimphoto"
"20751","wolfiemouse","RaiseUpfor15"
"20752","sc1199","RaiseUpfor15"
"20753","LongfellowJean","MoveOn"
"20754","GracieG","NCFaculty"
"20755","eddyrogerparker","Show_Me15"
"20756","AllynnUmel","RaiseUpfor15"
"20757","jengeorgetx","SenSanders"
"20758","Snewlio","RaiseUpfor15"
"20759","LongfellowJean","CARDBOARDOart"
