"","screenName","retweetCount","text","duplicated","Type"
"171","RaiseUpfor15",70,"Low wage workers and community supporters in the street to #Fightfor15 tonight in RVA https://t.co/fI8MHRGh7Q",FALSE,"6"
"172","FightFor15FL",69,"Sometimes you have to grind the gears of the machine and say enough is enough. Yesterday was that day. #FightFor15… https://t.co/2uRIak3DId",FALSE,"6"
"173","UR_Ninja",69,"Before her arrest: “a lot of low-wage workers out here...standing together to fight for workers rights”… https://t.co/o2kUI5e61j",FALSE,"6"
"174","Demos_Org",69,"There are many assumptions about what min. wage workers look like. Most of them are wrong, which is why the… https://t.co/VPEeVldkq5",FALSE,"1"
"175","CommsUnited",69,"BREAKING: SEVERAL HUNDREDS IN THE #Fightfor15 ACTION ON CHICAGO &amp; DAMEN! @chifightfor15 @icirr @ChiHomeless… https://t.co/bM8cD5lHKU",FALSE,"1"
"176","fightfor15mass",69,"Dozens of workers and elected officials are being arrested in Cambridge. #Fightfor15 https://t.co/Xm6pWzjEkQ",FALSE,"6"
"177","Show_Me15",68,"Ms Bettie has worked for McDs for 8 yrs and still can't pay all the bills- that's why she's a leader in the… https://t.co/OO5xzZkS8P",FALSE,"6"
"178","Show_Me15",68,"""We work, we sweat, put $15 on our checks!"" The #Fightfor15 isn't backing down from our mission! https://t.co/PAkWALf2QR",FALSE,"6"
"179","jacobinmag",67,"Solidarity with striking workers, from Miami to New York to Minneapolis. #Fightfor15 (via @Tomaskenn, @FightFor15,… https://t.co/J7hZDPJHyF",FALSE,NA
"180","chifightfor15",67,"Now at United terminal because we know the big airlines can afford to pay living wages #Fightfor15 #povertydoesntfly https://t.co/MiOKi8Xo98",FALSE,"6"
"181","RaiseUpfor15",67,"Charleston SC is ON STRIKE because we can't survive on $7.25! #Fightfor15 https://t.co/3VW0xAhk0u",FALSE,"6"
"182","fightfor15",66,"Must Watch: Today in Chicago | Strikes. Arrests. From O'hare airport to McDonald's we won't back down.… https://t.co/pFGjUIv3oY",FALSE,"6"
"183","EconomicPolicy",66,"When retailers pay unlivable wages, American taxpayers make up the difference. #Fightfor15 https://t.co/sgQMvnaC2i https://t.co/m3UKAqq8TE",FALSE,"1"
"184","32BJSEIU",65,"Happening NOW: #Fightfor15 protesters as far as the eye can see march to @dcairports #povertydoesntfly https://t.co/eL7oTolIE8",FALSE,"1"
"185","UR_Ninja",65,"NEW: 21 Arrested as Fast Food Workers Strike for $15/Hr in #Minneapolis - Read Full Report &gt;… https://t.co/IKOLlRySmO",FALSE,"6"
"186","MCorreaKHOU",65,"HAPPENING NOW:: protestors sitting on 610 frontage/ Beechnut @houstonpolice removing them as they #Fightfor15… https://t.co/woWicXrJY5",FALSE,NA
"187","fightfor15",64,"We appreciate all of you who stood with us yesterday. Please sen kind thoughts to our #FightFor15 fam that are still in jail today.",FALSE,"6"
"188","MoveOn",64,"#Fightfor15 https://t.co/UwzbzdjS06",FALSE,"1"
"189","somethingldsay",64,"If you identify as a ""second-generation fast-food worker"", PLEASE, break the cycle, don't have kids. ❌������❌
#Fightfor15
https://t.co/UygWIptbUq",FALSE,NA
"190","MikePrysner",64,"I was working 2 full-time jobs in LA &amp; still qualified for food stamps &amp; housing assistance. Shameful min wage laws. Stand with #FightFor15!",FALSE,NA
"191","Shelly_Ruzicka",64,"It's goin down! fast food workers on #strike at McDonalds! Chicago action happening Mow at Damen &amp; Chicago… https://t.co/2EvAHoPyAx",FALSE,NA
"192","fightfor15",64,"BREAKING: Logan International Airport workers will join the strike TOMORROW with the #FightFor15… https://t.co/p2Rn0SE38q",FALSE,"6"
"193","Show_Me15",63,"The fast food industry makes enough to pay employees living wages. RT if you think it should pay better. #FightFor15 https://t.co/i3IWbq9YdI",FALSE,"6"
"194","MoveOn",63,"BREAKING: @RevDrBarber arrested in the #Fightfor15. #Unions #15 https://t.co/wheDm2B9NL",FALSE,"1"
"195","chifightfor15",62,"We're going on strike on Nov 29 because we shouldn't be living in poverty. #FightFor15 https://t.co/FPTfFALdmD",FALSE,"6"
"196","smugjitsu",61,"#BlackLivesMatter enough to make your bio look nice but not enough to warrant a living wage. Ok. #Fightfor15",FALSE,NA
"197","NBCNews",61,"25 arrested in NYC #Fightfor15 protest https://t.co/G6JbJJ4h96 via @NBCNewYork https://t.co/4iDYniYDM2",FALSE,"3"
"198","fightfor15",61,"Airport workers at major U.S. hubs to join #FightFor15 protests Tuesday. Chicago and Boston to STRIKE.… https://t.co/JZt2uGP745",FALSE,"6"
"199","fightfor15texas",61,"Tomorrow we are standing up and fighting for a better future in Austin and across the nation.
#Fightfor15 https://t.co/KxjBeVHbHo",FALSE,"6"
"200","chifightfor15",60,"""$15 is a good starting point, but we deserve more""-Marcus, hospital worker #Fightfor15 https://t.co/64qlbIHBQ6",FALSE,"6"
