"","screenName","retweetCount","text","duplicated","Type"
"43","RoseAnnDeMoro",274,"#FightFor15 in Tampa, FL: Police arrest fast food workers, childcare workers, and clergy. Nurses turnout in solidar… https://t.co/igVJkvmZ4g",FALSE,"5"
"44","chifightfor15",274,"""If I have to I'm going to keep getting arrested until we win"" Mary Hood, McDs #Fightfor15 https://t.co/Qm3KPrFVG2",FALSE,"6"
"45","LawlessPirate",265,"I went to one #FightFor15 rally here in Richmond just to see it first hand, and this was what I saw..... https://t.co/gnxPDXxfIq",FALSE,"5"
"46","fightfor15",263,"Today we hit the streets. Today we risk arrest in our unrelenting fight for economic justice. Today we write histor… https://t.co/AGQ0y3yzsX",FALSE,"6"
"47","TheFoundingSon",261,"The MSM turned a blind eye to veterans protesting at Hampshire College that stopped flying US flags but wouldn't sh… https://t.co/EQliZeMsNk",FALSE,NA
"48","Marc_Perrone",250,"""It is easier to build Strong Children

than to repair Broken Men.""

Fredrick Douglass

#p2 #1u #FightFor15… https://t.co/dnya43h7XD",FALSE,"1"
"49","LeahRBoss",230,"You're not fighting

You're begging for something you haven't earned &amp; don't deserve.

You knew your pay when you took the job

 #Fightfor15",FALSE,"5"
"50","LibsNoFun",229,"Here are your new Cashiers  #Fightfor15 https://t.co/vJHXFVZn6W",FALSE,"5"
"51","LaborSec",227,"Workers do better when they can raise their voices together. It’s energizing to see workers organizing for higher wages in their #FightFor15",FALSE,NA
"52","ChrisJZullo",226,"When working full time at federal minimum wage pays $250 a week there are a problem with wages, not workers #FightFor15 #RaiseTheWage",FALSE,"5"
"53","fightfor15mass",222,"BREAKING: Boston Fast food &amp; Airport are on strike! We're not backing down! #Fightfor15 https://t.co/Z98ExAPkeM",FALSE,"6"
"54","zachhaller",216,"Reminder

Poverty isn't an accident

It's deliberate, like apartheid, slavery

Wealth exists here. It's not fairly distributed

#fightfor15",FALSE,"5"
