,id,label,timeset,Type,indegree,outdegree,degree,weighted.indegree,weighted.outdegree,weighted.degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum
1742,pragmactivist,pragmactivist,NA,5,173,22,195,192,28,220,12,280760095011876,372501117044265,82431261392937,0,0,324
4997,NicholsUprising,NicholsUprising,NA,5,166,0,166,166,0,166,0,0,0,0,0,0,30
2155,RaiseUpMA,RaiseUpMA,NA,6,162,16,178,257,30,287,13,259324265028521,353018357840693,162665275766904,0,0,324
1214,Latinos4Bernie,Latinos4Bernie,NA,1,160,2,162,160,2,162,15,179253867151956,213512422903286,250232732795063,0,0,324
765,AFSCME,AFSCME,NA,1,158,5,163,196,5,201,13,250529885544722,327299237705329,811556524728686,0,0,324
1034,RobinHoodTax,RobinHoodTax,NA,6,153,6,159,184,8,192,13,250848896434635,330683332459983,455153846229883,0,0,324
2495,NCFaculty,NCFaculty,NA,1,149,0,149,157,0,157,0,0,0,0,0,0,53
3272,JessLivMo,JessLivMo,NA,4,146,16,162,151,16,167,13,255512321660182,345432345432346,108691185316761,0,0,324
97,syashingo,syashingo,NA,1,143,0,143,191,0,191,0,0,0,0,91,0,228
496,BernieCrats1,BernieCrats1,NA,2,143,0,143,215,0,215,0,0,0,0,0,0,34
4155,figue32bj,figue32bj,NA,4,143,23,166,162,28,190,13,259894459102902,361317447358057,131663180531119,0,0,324
66,zachhaller,zachhaller,NA,5,142,5,147,155,6,161,14,208907741251326,260129652261631,426936437257724,0,0,324
835,MisterMetokur,MisterMetokur,NA,5,141,0,141,141,0,141,0,0,0,0,17,0,894
371,OurRevolution2,OurRevolution2,NA,6,136,2,138,191,2,193,14,207732864674868,255532923553227,365100606873811,0,0,324
3763,OccupyWallStNYC,OccupyWallStNYC,NA,6,131,13,144,150,16,166,13,256621797655232,346447573858742,696495176163005,0,0,324
8503,ChrisMurphyCT,ChrisMurphyCT,NA,2,131,0,131,131,0,131,0,0,0,0,0,0,70
