"","id","betweenesscentrality.x","X","label","timeset","Type","indegree","outdegree","degree","weighted.indegree","weighted.outdegree","weighted.degree","eccentricity","closnesscentrality","harmonicclosnesscentrality","betweenesscentrality.y","modularity_class","componentnumber","strongcompnum"
"44","AFSCME",81155.6524728686,765,"AFSCME",NA,1,158,5,163,196,5,201,13,250529885544722,327299237705329,811556524728686,0,0,324
"45","RWwatchMA",77270.7884849669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","MoveOn",76918.8867232714,3422,"MoveOn",NA,1,213,1,214,266,1,267,14,207150368033649,252668529064467,769188867232714,0,0,324
"47","CTUL_TC",74873.7933976487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","junemarie426",74810.5037219835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","NCStateAFLCIO",74767.5615687507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","SEIULocal1",74138.4331992028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","CaucusofWE",73272.3247017992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","1alyssakang",71872.3210326826,412,"1alyssakang",NA,4,286,2,288,294,2,296,13,245942571785268,320398101616376,718723210326826,0,0,324
"53","fightfor15texas",71570.5762907343,118,"fightfor15texas",NA,6,303,10,313,428,37,465,13,254521963824289,339651183559814,715705762907343,0,0,324
"54","PLANevada",70293.6136891124,6720,"PLANevada",NA,1,78,8,86,90,10,100,13,246970330129545,32646127138513,702936136891124,0,0,324
"55","OccupyWallStNYC",69649.5176163005,3763,"OccupyWallStNYC",NA,6,131,13,144,150,16,166,13,256621797655232,346447573858742,696495176163005,0,0,324
"56","AllynnUmel",69568.7501673446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","mattalley413",68063.0610150818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","standup_kc",67309.8497533328,39,"standup_kc",NA,6,215,10,225,259,16,275,13,253213367609255,337536124338155,673098497533328,0,0,324
"59","seiufl",66820.3035042773,2413,"seiufl",NA,1,77,20,97,95,32,127,13,257853403141361,35440825390064,668203035042773,0,0,324
"60","Detroit_15",65331.7951465975,824,"Detroit_15",NA,6,275,6,281,375,12,387,13,248842105263158,328914740082253,653317951465975,0,0,324
"61","TheNewThinker",64775.323439094,1907,"TheNewThinker",NA,5,174,1,175,212,1,213,13,245840266222962,319552077927713,64775323439094,0,0,324
"62","stopsfevictions",64368.0809352068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","clinton_wright",64354.0247355421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","seiumn",62130.7449696697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","JustHarvest",60846.373966703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","NEJewishLabor",57995.7704903963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","seiuhcpa",55455.3579456192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","SEIU",54829.296086612,1176,"SEIU",NA,1,109,36,145,124,65,189,13,26986301369863,384405836690101,54829296086612,0,0,324
"69","bradlander",53657.7210458885,339,"bradlander",NA,5,73,4,77,86,5,91,14,210470085470085,261805584902031,536577210458885,0,0,324
"70","ryanstopera",53610.9101114498,2162,"ryanstopera",NA,4,113,1,114,113,1,114,13,245840266222962,319552077927713,536109101114498,0,0,324
"71","michstepstone",53369.8948554784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","kelleycollings",52146.3689217736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","LibsNoFun",50831,3483,"LibsNoFun",NA,5,326,5,331,358,5,363,1,1,1,50831,17,0,103
