Source,Target,Type,id,label,timeset,weight
ericserati68,Show_Me15,Directed,120,,,6.0
BabyDragon_Mizu,Kaimandante,Directed,121,,,1.0
QueenBasmin,ATLRaiseUp,Directed,123,,,1.0
LMBigSur,TimRunsHisMouth,Directed,124,,,1.0
QueenBasmin,Show_Me15,Directed,125,,,30.0
ArtEdwardo,FightFor15FL,Directed,126,,,3.0
bmintonmarshall,FF15HomeCare,Directed,127,,,1.0
CeoEnron,Kaimandante,Directed,128,,,1.0
luvGodncountry,TimRunsHisMouth,Directed,129,,,1.0
Chris6375,JohnWisniewski,Directed,130,,,1.0
nmvet60,TimRunsHisMouth,Directed,131,,,1.0
lemon_and_lilac,UR_Ninja,Directed,132,,,2.0
carolehrle1,rbecker51,Directed,133,,,1.0
LiberateUkraine,discjocke52,Directed,135,,,1.0
wowlex_,Kaimandante,Directed,136,,,1.0
terrilynr,FF15ChildCare,Directed,137,,,1.0
markburgerenerg,chifightfor15,Directed,138,,,12.0
zuvielessen,syashingo,Directed,139,,,1.0
QuintinOnCamera,postandcourier,Directed,140,,,1.0
DreamsiclePony,Kaimandante,Directed,141,,,1.0
KareMalkiard,SenSanders,Directed,142,,,1.0
amber_milliken,SenSanders,Directed,143,,,2.0
Wacodausmc,laura_garvock,Directed,145,,,1.0
ToniWilcher,fightfor15,Directed,146,,,1.0
intellwatch,TimRunsHisMouth,Directed,147,,,1.0
RaineAnneMKE,fightfor15,Directed,148,,,1.0
Marilynborchar1,fightfor15,Directed,149,,,3.0
RaineAnneMKE,FF15HomeCare,Directed,150,,,1.0
dvd1277,gehringdc,Directed,151,,,1.0
albradfie,RWwatchMA,Directed,152,,,1.0
albradfie,postandcourier,Directed,153,,,1.0
albradfie,Agent00Pitts,Directed,154,,,1.0
anyalhas,QlaraQontra,Directed,155,,,1.0
PFrache,alanacto2009,Directed,156,,,1.0
PFrache,fairwagesnow,Directed,157,,,5.0
af7qp,FF15HomeCare,Directed,158,,,1.0
Adriennekitties,gibunnys,Directed,160,,,1.0
jobelenus,FF15HomeCare,Directed,161,,,1.0
EricDzikowski,gwbehn,Directed,162,,,1.0
kevinrns,FF15ChildCare,Directed,164,,,1.0
rorlolson,DeepSouthProud,Directed,165,,,1.0
JetskevanWoerde,jwjnational,Directed,166,,,1.0
CurtisSchroder,DeepSouthProud,Directed,167,,,1.0
TheShyIon,Kaimandante,Directed,168,,,1.0
SloppiestJoe,fightfor15texas,Directed,169,,,1.0
Katerina51,laura_garvock,Directed,170,,,1.0
TheRoadbeer,gwbehn,Directed,171,,,1.0
SLS3870,DeepSouthProud,Directed,172,,,1.0
ralphshields313,gwbehn,Directed,173,,,1.0
Madisun04,DeepSouthProud,Directed,174,,,1.0
gwbehn,gwbehn,Directed,175,,,3.0
LocoCravey,RaiseUpfor15,Directed,177,,,5.0
emccoy_writer,Kaimandante,Directed,178,,,2.0
emccoy_writer,MabandeOpenBeta,Directed,179,,,1.0
WizzyProbs,FF15HomeCare,Directed,181,,,1.0
bbeekk321,DeepSouthProud,Directed,182,,,1.0
k_noelle1,TimRunsHisMouth,Directed,183,,,1.0
JaxAgtuca,FF15HomeCare,Directed,184,,,1.0
rhythmicdad,wilsonhartgrove,Directed,185,,,1.0
bladez_edge,TheFoundingSon,Directed,186,,,2.0
Gremlinbroom,FF15HomeCare,Directed,187,,,1.0
fightfor15,FF15HomeCare,Directed,188,,,1.0
JaylanMoore3,postandcourier,Directed,189,,,1.0
uamuzik,discjocke52,Directed,190,,,1.0
aidole,mattalley413,Directed,191,,,1.0
Triszam,jwjnational,Directed,192,,,2.0
aidole,fightfor15texas,Directed,193,,,1.0
norplescu,Fightfor15LA,Directed,194,,,1.0
1shipman,postandcourier,Directed,195,,,1.0
CARLCOLSTON1,knxpete,Directed,196,,,1.0
conlimonisal,Fightfor15LA,Directed,197,,,12.0
MarieJenkins10,ATLRaiseUp,Directed,198,,,3.0
Nicky_Burger,postandcourier,Directed,199,,,1.0
MarieJenkins10,fightfor15,Directed,201,,,40.0
alisonhgoh,fightfor15,Directed,202,,,5.0
dmsjr1978,chifightfor15,Directed,203,,,2.0
silvesternyamon,CaliforniaLabor,Directed,204,,,1.0
viclyn529,DeepSouthProud,Directed,205,,,1.0
CiaranDeFaoite,SenSanders,Directed,206,,,1.0
sigeldan,FightFor15FL,Directed,207,,,3.0
Jewell2221,DeepSouthProud,Directed,208,,,1.0
DigitizingStl,eee_eff,Directed,209,,,1.0
hollabigdave,CJ_DCLABOR,Directed,210,,,1.0
trade_food,fightfor15,Directed,211,,,2.0
DiaryHOH89,OurPoliticalRev,Directed,212,,,1.0
ms1brinker,DeepSouthProud,Directed,213,,,1.0
markburgerenerg,RaiseUpfor15,Directed,214,,,11.0
twitt3rpoll,twitt3rpoll,Directed,215,,,1.0
Hollentour,DeepSouthProud,Directed,216,,,1.0
davhalter,DeepSouthProud,Directed,217,,,1.0
sigeldan,chifightfor15,Directed,218,,,1.0
dissident641,DeepSouthProud,Directed,219,,,1.0
DianeSweet,fightfor15,Directed,220,,,3.0
upwithmike,RaiseUpfor15,Directed,221,,,2.0
andychicks,DeepSouthProud,Directed,222,,,1.0
chadfelixg,DeepSouthProud,Directed,223,,,1.0
dogstar7tweets,fightfor15,Directed,224,,,11.0
rickeybolin,TheFoundingSon,Directed,225,,,1.0
wavesofeuphoria,fightfor15,Directed,226,,,3.0
FoundersGirl,DeepSouthProud,Directed,227,,,1.0
chuddles11,alanacto2009,Directed,228,,,1.0
j00ma,greg_doucette,Directed,229,,,1.0
Brentano_only,TheFoundingSon,Directed,230,,,1.0
RaghuAiyar,TimRunsHisMouth,Directed,231,,,1.0
BunnySlope,TimRunsHisMouth,Directed,232,,,1.0
GingerMBurnett,MarkRuffalo,Directed,233,,,1.0
fairwagesnow,alanacto2009,Directed,234,,,1.0
ElaineSowersby,RaiseUpfor15,Directed,235,,,8.0
rjber15,FF15ChildCare,Directed,236,,,13.0
malcom_phil,TheFoundingSon,Directed,237,,,1.0
pinkyprancy,greg_doucette,Directed,238,,,1.0
Nollypuig,SenSanders,Directed,239,,,1.0
wavesofeuphoria,Show_Me15,Directed,240,,,3.0
Pallaweee,greg_doucette,Directed,241,,,1.0
LaurenCruel,greg_doucette,Directed,242,,,1.0
WinProgressive,RaiseUpfor15,Directed,243,,,1.0
continentaldrop,AmyMTraub,Directed,244,,,1.0
Crooow1,Kaimandante,Directed,245,,,1.0
LadnerDladner,TheFoundingSon,Directed,246,,,1.0
lonestarmango,DeepSouthProud,Directed,247,,,1.0
clairesnyderhal,FightFor15FL,Directed,248,,,9.0
JimbolandJots,MarkRuffalo,Directed,249,,,1.0
carocarocjdl,SenSanders,Directed,250,,,1.0
kadenyap,TheFoundingSon,Directed,251,,,1.0
Deplorable_Ed,TimRunsHisMouth,Directed,252,,,1.0
PattiBerry31666,TimRunsHisMouth,Directed,253,,,1.0
AlegnaXXV,TimRunsHisMouth,Directed,254,,,1.0
MullenPmullen,fightfor15,Directed,255,,,1.0
JTStover,DeepSouthProud,Directed,256,,,1.0
eeners,DeepSouthProud,Directed,257,,,1.0
aurora_g96,DeepSouthProud,Directed,258,,,2.0
aldaelectrician,fightfor15,Directed,259,,,2.0
Britpoptarts,chifightfor15,Directed,260,,,1.0
unitehere,ATLRaiseUp,Directed,261,,,1.0
aldaelectrician,chifightfor15,Directed,262,,,1.0
Tmkerry204,DeepSouthProud,Directed,263,,,1.0
BBoyer1969,DeepSouthProud,Directed,264,,,1.0
AriDavidUSA,DeepSouthProud,Directed,265,,,1.0
jrbixby,TimRunsHisMouth,Directed,266,,,1.0
mk_wigginton,DeepSouthProud,Directed,267,,,1.0
yinyoung,n_takekawa,Directed,268,,,1.0
grannie12001,TimRunsHisMouth,Directed,269,,,1.0
_TeamFlores,DeepSouthProud,Directed,270,,,1.0
scottandrewh,ATLRaiseUp,Directed,271,,,1.0
Zoor,laura_garvock,Directed,272,,,1.0
lorizellmill,TheFoundingSon,Directed,273,,,1.0
3labsandaguy,SenSanders,Directed,274,,,1.0
Show_Me15,ATLRaiseUp,Directed,275,,,1.0
msgoddessrises,DeepSouthProud,Directed,276,,,1.0
Mysticeagle1,DeepSouthProud,Directed,277,,,1.0
Lonestarmomcom,DeepSouthProud,Directed,278,,,1.0
BanditGolf,DeepSouthProud,Directed,279,,,1.0
mikehighleysr,TheFoundingSon,Directed,280,,,1.0
TexasLiberty15,TheFoundingSon,Directed,281,,,1.0
SteegVan,LizWarren_2020,Directed,282,,,2.0
r0ma_invicta,TheFoundingSon,Directed,283,,,1.0
NataFerreira25,FF15HomeCare,Directed,284,,,2.0
AJOnlyBetter,TheFoundingSon,Directed,285,,,1.0
Dremz_R_Free,ChrisJZullo,Directed,287,,,1.0
Zimmshady,TheFoundingSon,Directed,288,,,1.0
apoet4justice,jwjnational,Directed,289,,,1.0
laRossa05,laura_garvock,Directed,290,,,1.0
apoet4justice,AFSCMEMN5,Directed,291,,,1.0
so_a_honeybee,DannyNSFL,Directed,292,,,1.0
5QU1RR3LZ,HymieDoucheman,Directed,293,,,2.0
MtthewRubiin,FF15HomeCare,Directed,294,,,2.0
DavidApsens,DeepSouthProud,Directed,295,,,1.0
frolz12,EconomicPolicy,Directed,296,,,1.0
ensignbay,DeepSouthProud,Directed,297,,,1.0
GarionCoyote,laura_garvock,Directed,298,,,2.0
KeyKristy,fightfor15,Directed,299,,,32.0
KeyKristy,Show_Me15,Directed,300,,,7.0
girlmoving,DeepSouthProud,Directed,301,,,1.0
KeyKristy,NorCalFF15,Directed,302,,,4.0
burnodo,FF15HomeCare,Directed,303,,,1.0
peterdrysdale1,DeepSouthProud,Directed,304,,,1.0
bravospur,Kaimandante,Directed,305,,,1.0
NorCalFF15,FF15HomeCare,Directed,306,,,1.0
FightFor15WI,FF15HomeCare,Directed,307,,,1.0
Fightfor15LA,FF15HomeCare,Directed,308,,,1.0
4evrstardancer,fightfor15,Directed,309,,,5.0
4evrstardancer,FightFor15FL,Directed,310,,,2.0
KeyKristy,ATLRaiseUp,Directed,311,,,1.0
BlgaethGaeth,TheFoundingSon,Directed,312,,,1.0
dime85sg,bradlander,Directed,313,,,1.0
mjkirtley,syashingo,Directed,314,,,1.0
lizcaissie,RevDrBarber,Directed,316,,,1.0
mariluna329,LizWarren_2020,Directed,318,,,1.0
txjean2014,DeepSouthProud,Directed,319,,,1.0
KeyKristy,FightFor15FL,Directed,320,,,3.0
MinnePuffin,MarkRuffalo,Directed,321,,,1.0
MaximusAthos,ILoveBernie1,Directed,322,,,2.0
bdaraio,FightFor15FL,Directed,324,,,1.0
behling430,TheFoundingSon,Directed,325,,,1.0
DiveConLFP,DeepSouthProud,Directed,326,,,1.0
ThorsteinnArnar,FightFor15FL,Directed,327,,,2.0
mijo188,syashingo,Directed,329,,,1.0
_ButtahCup,TLC_1957,Directed,330,,,1.0
M87Nose,syashingo,Directed,331,,,1.0
BrittyGetzBusi,Kaimandante,Directed,332,,,1.0
tyajyo,aequitas1500,Directed,333,,,1.0
TedParsons,CWAUnion,Directed,334,,,1.0
TWU250A,Fightfor15LA,Directed,335,,,2.0
Suze4obama,ATLRaiseUp,Directed,336,,,1.0
TWU250A,chifightfor15,Directed,337,,,2.0
TWU250A,FightFor15FL,Directed,338,,,1.0
sayaka1789,syashingo,Directed,340,,,4.0
steve78333,FightFor15FL,Directed,342,,,2.0
dadz1949z,DeepSouthProud,Directed,343,,,1.0
mldy1988,fightfor15,Directed,344,,,2.0
SteveLeeSr,fightfor15,Directed,346,,,2.0
Billstannard1,DeepSouthProud,Directed,347,,,1.0
lacyepstein,fightfor15,Directed,348,,,2.0
MrIJ1,OurRevolution2,Directed,349,,,1.0
KeyKoTooCool,MarkRuffalo,Directed,350,,,1.0
BitcoinBuddhist,fightfor15,Directed,351,,,2.0
heibulld,syashingo,Directed,352,,,2.0
FightFor15FL,fightfor15,Directed,353,,,14.0
Jam1p,DeepSouthProud,Directed,354,,,1.0
victory1261,FightFor15FL,Directed,355,,,2.0
lcpinco,DeepSouthProud,Directed,356,,,1.0
sc1199,fightfor15,Directed,357,,,20.0
FightFor15FL,FightFor15FL,Directed,358,,,18.0
sc1199,FightFor15FL,Directed,359,,,6.0
HeathersCheddar,DeepSouthProud,Directed,361,,,1.0
YurusanaiAbe,syashingo,Directed,362,,,8.0
Chi2SoCal2LV,DeepSouthProud,Directed,364,,,1.0
YurusanaiAbe,n_takekawa,Directed,365,,,1.0
paulguy6,chifightfor15,Directed,366,,,3.0
btmup1500,aequitas1500,Directed,367,,,1.0
nogutiti,aequitas1500,Directed,368,,,2.0
CrypticStranger,Kaimandante,Directed,370,,,1.0
ThomBijenhof,chifightfor15,Directed,371,,,1.0
uberyacht,GisellaGsba,Directed,373,,,1.0
CanuckJacq,Kaimandante,Directed,374,,,1.0
BGilroy,Kaimandante,Directed,375,,,1.0
losowsky,Kaimandante,Directed,376,,,1.0
YurusanaiAbe,aequitas1500,Directed,377,,,4.0
ElemPeng,Kaimandante,Directed,378,,,1.0
SuzanEraslan,Kaimandante,Directed,379,,,1.0
nate37716,syashingo,Directed,380,,,1.0
ranchdancer,DeepSouthProud,Directed,381,,,1.0
erikgrim,MeyerRon,Directed,382,,,1.0
DJCPI,Kaimandante,Directed,383,,,1.0
WoolardLynda,DeepSouthProud,Directed,384,,,1.0
WorkersRule518,Fightfor15LA,Directed,385,,,1.0
EchoesErrant,DeepSouthProud,Directed,386,,,1.0
Phibear94,DeepSouthProud,Directed,387,,,1.0
dominique_e_,dominique_e_,Directed,388,,,1.0
randycruse,chifightfor15,Directed,389,,,1.0
Merton_G3,chifightfor15,Directed,390,,,5.0
Will_J_Bryan,chifightfor15,Directed,391,,,1.0
TyboltLannister,fightfor15,Directed,392,,,2.0
shiroifune,syashingo,Directed,394,,,1.0
EvLTxiCaN,FightFor15FL,Directed,395,,,5.0
TheOtherMandela,stateinnovation,Directed,396,,,1.0
Mabukon,1alyssakang,Directed,397,,,1.0
Mabukon,chifightfor15,Directed,398,,,2.0
burnodo,syashingo,Directed,399,,,1.0
crossfitnans,SenWarren2020,Directed,400,,,2.0
merr1dew,DrLeighMJohnson,Directed,401,,,1.0
1911G_fan,DeepSouthProud,Directed,402,,,1.0
piyocomameco,aequitas1500,Directed,403,,,1.0
Mabukon,Fightfor15LA,Directed,404,,,2.0
applegrEEn_55,syashingo,Directed,405,,,1.0
ChiariGirl357,Fightfor15LA,Directed,406,,,1.0
asagakuruyo,syashingo,Directed,408,,,1.0
EyeGloArts,fightfor15,Directed,409,,,1.0
staylo03,Marc_Perrone,Directed,410,,,1.0
Julie32BJ,CJ_DCLABOR,Directed,411,,,1.0
wavesofeuphoria,10NewsRBianco,Directed,412,,,1.0
DevanCheaves,jwjnational,Directed,413,,,1.0
mesquitepenny,ReelectBernie,Directed,414,,,1.0
davidneyskens,InsanityIsFree,Directed,415,,,1.0
32BJSEIU,CJ_DCLABOR,Directed,416,,,1.0
BernieVolunteer,syashingo,Directed,417,,,1.0
DaveDoom2008,DeepSouthProud,Directed,418,,,1.0
FairWitness1,RebootDNC,Directed,419,,,1.0
LiveFreedomOrDi,DeepSouthProud,Directed,420,,,1.0
GoodToKnowCMTY,BernieTheBest1,Directed,421,,,1.0
MollyMark1,TheFoundingSon,Directed,422,,,1.0
JWSiudzinski,TheFoundingSon,Directed,423,,,1.0
Revisann,SenSanders,Directed,424,,,1.0
RobinBall1961,10NewsRBianco,Directed,425,,,1.0
tatuyawada07212,syashingo,Directed,426,,,1.0
ouachitaways,laura_garvock,Directed,427,,,1.0
rmnixon1968,TheFoundingSon,Directed,428,,,1.0
LailaUSA1,mohammadshaikh_,Directed,429,,,1.0
GazNorris15,10NewsRBianco,Directed,430,,,1.0
McgriffVera,jillian4council,Directed,431,,,2.0
whyI2065,syashingo,Directed,433,,,2.0
allan_crawshaw,10NewsRBianco,Directed,434,,,1.0
junichi_nb,syashingo,Directed,436,,,1.0
tdh052883,LawlessPirate,Directed,437,,,1.0
kotoenmelon,syashingo,Directed,438,,,1.0
gogreen200086,twitt3rpoll,Directed,439,,,1.0
wecespedes,FightFor15FL,Directed,440,,,1.0
SallyJupiterRA,twitt3rpoll,Directed,441,,,1.0
staceycomfort,laura_garvock,Directed,442,,,1.0
Suezayn,RevDrBarber,Directed,443,,,1.0
realgonzoid,Fightfor15LA,Directed,444,,,1.0
10_hanshin,n_takekawa,Directed,445,,,1.0
sto93_sarah,TheFoundingSon,Directed,446,,,1.0
realgonzoid,SenSanders,Directed,447,,,2.0
yoox5135,syashingo,Directed,449,,,1.0
cutokyo_bunkyo,syashingo,Directed,450,,,1.0
aequitas1500,n_takekawa,Directed,451,,,1.0
SwooshyCueb,Kaimandante,Directed,452,,,1.0
linda_wed1,Kaimandante,Directed,453,,,1.0
joey_tweedy,DeepSouthProud,Directed,454,,,1.0
UnkelFred,Fightfor15LA,Directed,455,,,1.0
brahms28,aequitas1500,Directed,456,,,2.0
laurahollis61,DeepSouthProud,Directed,457,,,1.0
mclaughlane,Kaimandante,Directed,458,,,1.0
UnkelFred,SenSanders,Directed,459,,,2.0
brahms28,syashingo,Directed,460,,,2.0
fightfor15texas,FightFor15FL,Directed,462,,,5.0
JudyJones1990,syashingo,Directed,463,,,1.0
biedjaioepasie,jwjnational,Directed,464,,,1.0
hayaokibetty,syashingo,Directed,465,,,1.0
Yfiv3,syashingo,Directed,466,,,1.0
j_owens1960,TheFoundingSon,Directed,467,,,1.0
inittowinit007,TheFoundingSon,Directed,469,,,1.0
SaraWil44479311,TheFoundingSon,Directed,470,,,1.0
Ruudkuin,Show_Me15,Directed,471,,,1.0
milley_steve,TheFoundingSon,Directed,472,,,1.0
ironrookie,TheFoundingSon,Directed,473,,,1.0
JustinTyme5,FightFor15FL,Directed,474,,,6.0
LShlfler,wbpnetdotorg,Directed,475,,,1.0
tareuyaya,aequitas1500,Directed,476,,,1.0
peacekatu,aequitas1500,Directed,477,,,1.0
JustinTyme5,syashingo,Directed,478,,,1.0
People4Bernie,syashingo,Directed,479,,,1.0
switchbackimage,laura_garvock,Directed,480,,,1.0
yosinagakoyuri,aequitas1500,Directed,481,,,1.0
pokepika2011,syashingo,Directed,482,,,2.0
donna_dudik,RoseAnnDeMoro,Directed,483,,,1.0
hirokun4444,syashingo,Directed,484,,,1.0
n_takekawa,aequitas1500,Directed,485,,,1.0
