id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum
restlesshead,restlesshead,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22891
phycobob,phycobob,,0,1,1,0.0,1.0,1.0,13.0,0.21950315164998146,0.26073124510624496,0.0,0,0,22892
fjisback,fjisback,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17,0,22893
BOZOBRIZZO,BOZOBRIZZO,,0,1,1,0.0,1.0,1.0,13.0,0.1195959595959596,0.13406825438075512,0.0,17,0,22894
MaureenRoble,MaureenRoble,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22895
SHERRIMAMA,SHERRIMAMA,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22896
quattrinsr,quattrinsr,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22897
hannayha,hannayha,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22898
38_super,38_super,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17,0,22899
lisaga,lisaga,,0,1,1,0.0,1.0,1.0,14.0,0.20308747855917667,0.24396871896871836,0.0,0,0,22900
ramblersbrewing,ramblersbrewing,,0,1,1,0.0,1.0,1.0,13.0,0.21950315164998146,0.26073124510624496,0.0,0,0,22901
MLG_TinyD,MLG_TinyD,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22902
NOLAclergy,NOLAclergy,,0,18,18,0.0,38.0,38.0,12.0,0.2719338539274231,0.3561342795717804,0.0,0,0,22903
lexicaldrrift,lexicaldrrift,,0,1,1,0.0,1.0,1.0,14.0,0.20006747638326586,0.2386107053897944,0.0,0,0,22904
MontyDraxel,MontyDraxel,,11,1,12,11.0,1.0,12.0,1.0,1.0,1.0,11.0,17,0,16052
FinessinPlays,FinessinPlays,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22905
baby_mead0ws,baby_mead0ws,,0,3,3,0.0,3.0,3.0,13.0,0.24884405212274066,0.32440965565965596,0.0,0,0,22906
Slayerfrench,Slayerfrench,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22907
Elliotisntnice,Elliotisntnice,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17,0,22908
lutztheophil,lutztheophil,,0,2,2,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0,0,22909
RAF2attac,RAF2attac,,0,1,1,0.0,1.0,1.0,13.0,0.24594931449937682,0.31957535707535734,0.0,0,0,22910
6_mercado,6_mercado,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22911
iroc,iroc,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22912
angela4respect,angela4respect,,0,2,2,0.0,2.0,2.0,14.0,0.20413793103448277,0.2494947807447801,0.0,0,0,22913
yung0nion,yung0nion,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22914
MattStrett,MattStrett,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17,0,22915
kyliemargo,kyliemargo,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22916
sldcc,sldcc,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22917
rockmanneo,rockmanneo,,0,1,1,0.0,1.0,1.0,2.0,0.6666666666666666,0.75,0.0,17,0,22918
tenaj74,tenaj74,,0,2,2,0.0,2.0,2.0,14.0,0.20067796610169492,0.2395969364719361,0.0,0,0,22919
jlpf1980,jlpf1980,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17,0,22920
lazy_communist,lazy_communist,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22921
DesbraRon,DesbraRon,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22922
Curucible,Curucible,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17,0,22923
lisaorr914,lisaorr914,,1,1,2,1.0,1.0,2.0,14.0,0.20750087627059235,0.25417222604722534,0.0,0,0,617
emma_chaballin,emma_chaballin,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22924
pat_snax,pat_snax,,0,1,1,0.0,1.0,1.0,15.0,0.16522708275285594,0.18775283176632335,0.0,0,0,22925
Cleosbaby64,Cleosbaby64,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22926
emmaleementaa,emmaleementaa,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22927
alysssawatkins,alysssawatkins,,0,1,1,0.0,1.0,1.0,14.0,0.20750087627059235,0.25417222604722534,0.0,0,0,22928
Sajjadlone9,Sajjadlone9,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2,2,22929
revlucymeg,revlucymeg,,0,2,2,0.0,2.0,2.0,13.0,0.2462624584717608,0.3207227848037294,0.0,0,0,22930
LeChatNoire4,LeChatNoire4,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22931
AcadieSon,AcadieSon,,0,1,1,0.0,1.0,1.0,14.0,0.2072103605180259,0.2526640214140207,0.0,0,0,22932
LouisianaClubHU,LouisianaClubHU,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22933
Dloissr,Dloissr,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22934
CortneyWarwick,CortneyWarwick,,0,2,2,0.0,2.0,2.0,13.0,0.2460515378221114,0.32041995166995196,0.0,0,0,22935
peggyjohnson674,peggyjohnson674,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22936
IamJasonSole,IamJasonSole,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22937
joldozda,joldozda,,0,2,2,0.0,3.0,3.0,14.0,0.21645338208409506,0.2736099673599666,0.0,0,0,22938
1900matt,1900matt,,0,2,2,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0,0,22939
JLScott_23,JLScott_23,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22940
saraeproegler,saraeproegler,,2,1,3,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0,0,1503
Ursula1781,Ursula1781,,0,1,1,0.0,1.0,1.0,3.0,0.5,0.611111111111111,0.0,0,0,22941
cloud2014,cloud2014,,0,5,5,0.0,5.0,5.0,13.0,0.22981366459627328,0.28505154755154744,0.0,0,0,22942
assreguii,assreguii,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22943
susan_fionafae3,susan_fionafae3,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17,0,22944
VpresV,VpresV,,0,3,3,0.0,4.0,4.0,14.0,0.20852412821415992,0.2580010548760542,0.0,0,0,22945
Ggrimaldo123,Ggrimaldo123,,0,6,6,0.0,6.0,6.0,13.0,0.24894869638351555,0.3277679246429249,0.0,0,0,22946
asJBdorightthng,asJBdorightthng,,0,1,1,0.0,1.0,1.0,13.0,0.21950315164998146,0.26073124510624496,0.0,0,0,22947
PSUFA_AFT,PSUFA_AFT,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22948
windmi11s,windmi11s,,0,1,1,0.0,1.0,1.0,14.0,0.20750087627059235,0.25417222604722534,0.0,0,0,22949
soaksponge,soaksponge,,0,2,2,0.0,3.0,3.0,2.0,0.75,0.8333333333333334,0.0,17,0,22950
hstratton62,hstratton62,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22951
zerifidan,zerifidan,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22952
jkppcp,jkppcp,,0,2,2,0.0,2.0,2.0,12.0,0.13178984861976847,0.14140938828438904,0.0,17,0,22953
pennandtellum,pennandtellum,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22954
deusexstigma,deusexstigma,,0,1,1,0.0,1.0,1.0,14.0,0.20750087627059235,0.25417222604722534,0.0,0,0,22955
5af6bc936b304bd,5af6bc936b304bd,,0,2,2,0.0,2.0,2.0,14.0,0.20582120582120583,0.251059733382965,0.0,0,0,22956
juIiabraps,juIiabraps,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22957
scottsandmeyer,scottsandmeyer,,0,1,1,0.0,1.0,1.0,13.0,0.24594931449937682,0.31957535707535734,0.0,0,0,22958
bryyaann92,bryyaann92,,0,2,2,0.0,2.0,2.0,13.0,0.2483221476510067,0.3238264832014835,0.0,0,0,22959
EricaSlaughter5,EricaSlaughter5,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22960
katzinthecosmos,katzinthecosmos,,0,2,2,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0,0,22961
AngustheHitman,AngustheHitman,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22962
kinpatu,kinpatu,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17,0,22963
JosieHyun,JosieHyun,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22964
ItuIL,ItuIL,,0,1,1,0.0,3.0,3.0,14.0,0.20750087627059235,0.25417222604722534,0.0,0,0,22965
51LouShelly65,51LouShelly65,,0,1,1,0.0,1.0,1.0,2.0,0.6666666666666666,0.75,0.0,17,0,22966
ThatVidyaGuy,ThatVidyaGuy,,0,2,2,0.0,2.0,2.0,1.0,1.0,1.0,0.0,17,0,22967
aprihandono,aprihandono,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22968
allinwon,allinwon,,0,1,1,0.0,1.0,1.0,2.0,0.5454545454545454,0.5833333333333334,0.0,17,0,22969
